0,1,2,3,4,5,6,7,8,9,10,11,12,BRIEF_TITLE,TREATMENT_LABEL,SOURCE_URL
REGION,STATE_GROUP,PROGRAM_STATUS,ANCHOR_INDUSTRY,2018,2019,2020,2021,2022,2023,2024,2025,PORTAL_NOTE,Ohio Grant Corridor: Lake Manufacturing Ring,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
"Lucas Cnty, Ohio  Lake Erie Production Belt",Ohio funded corridor,AI Grant County,Auto parts and machining,32620,"32,055 jobs",~30.9k,31.4 thousand,33.4k,34.6 K,36645,"39,500 jobs",2023 export notes mention a robotics maintenance apprenticeship.,Ohio Grant Corridor: Lake Manufacturing Ring,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
Stark County / OH  Lake Erie Production Belt,Ohio funded corridor,Grant Zone,Fabricated metals,35.7 thousand,35.2k,34.1 K,34600,"36,640 jobs",~38.0k,40.1 thousand,43.0k,County brief flags a retrofit hiring bump after 2022 plant upgrades.,Ohio Grant Corridor: Lake Manufacturing Ring,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/ohio-lake-corridor
REGION,STATE_GROUP,PROGRAM_STATUS,ANCHOR_INDUSTRY,2018,2019,2020,2021,2022,2023,2024,2025,PORTAL_NOTE,Ohio Grant Corridor: Mahoning Valley,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
Mahoning County - Ohio  Mahoning Valley Industrial District,Ohio funded corridor,Upskilling Cohort,Steel components,29210,"28,720 jobs",~27.5k,28.1 thousand,30.0k,31.2 K,33215,"36,035 jobs",District memo notes technician vacancies fell after the grant rollout.,Ohio Grant Corridor: Mahoning Valley,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
"Trumbull Cnty., OH  Mahoning Valley Industrial District",Ohio funded corridor,Treated,Industrial tooling,24.9 thousand,24.5k,23.3 K,23811,"25,688 jobs",~26.9k,28.9 thousand,31.6k,2024 archive mentions a new quality-control robotics line.,Ohio Grant Corridor: Mahoning Valley,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/ohio-valley-corridor
REGION,STATE_GROUP,PROGRAM_STATUS,ANCHOR_INDUSTRY,2018,2019,2020,2021,2022,2023,2024,2025,PORTAL_NOTE,Pennsylvania Benchmark District: Northern Border,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
Erie County (PA)  Northern Border Benchmark District,Pennsylvania benchmark district,Comparison Area,Machine shops,30860,"30,327 jobs",~29.2k,29.7 thousand,29.9k,30.2 K,30402,"30,634 jobs",Benchmark archive retained original county naming from the state export.,Pennsylvania Benchmark District: Northern Border,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
"Mercer Cnty, Pennsylvania  Northern Border Benchmark District",Pennsylvania benchmark district,No Grant,Plastics and molds,18.5 thousand,18.1k,16.9 K,17404,"17,637 jobs",~17.9k,18.2 thousand,18.4k,A 2022 note says firms reported automation interest but no subsidy support.,Pennsylvania Benchmark District: Northern Border,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/pennsylvania-north-benchmark
REGION,STATE_GROUP,PROGRAM_STATUS,ANCHOR_INDUSTRY,2018,2019,2020,2021,2022,2023,2024,2025,PORTAL_NOTE,Pennsylvania Benchmark District: Beaver-Lawrence Belt,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
Lawrence County - PA  Beaver-Lawrence Benchmark Belt,Pennsylvania benchmark district,Benchmark County,Warehouse fabrication,17285,"16,821 jobs",~15.7k,16.2 thousand,16.4k,16.7 K,16926,"17,167 jobs",Archived memo warns that smaller plants delayed capital upgrades.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
"Beaver Cnty., PA  Beaver-Lawrence Benchmark Belt",Pennsylvania benchmark district,Control,Chemicals and fabricated parts,27.0 thousand,26.5k,25.3 K,25821,"26,053 jobs",~26.4k,26.6 thousand,26.9k,State benchmark brief notes staffing recovered only gradually after 2021.,Pennsylvania Benchmark District: Beaver-Lawrence Belt,UNKNOWN,https://bana290-assignment3.netlify.app/briefs/pennsylvania-south-benchmark
